"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"
"47"	"VG1-2_81"	"0.226671974618838"	"0.19106219289368"	"0.262281756343997"	"6.88784534397752"	"0.180922867663746"	"6.52168740670963"	"7.27456109499257"	"9.95264842940998"	"0.0699992670398748"	"9.8081364063811"	"10.0992896769862"	"12.2406325380461"	"0.185665723427349"	"11.8605456883299"	"12.6328997728072"
"48"	"VG1-2_83"	"0.86429289782815"	"0.806231621360481"	"0.922354174295819"	"5.90584659409324"	"0.173198437547987"	"5.55642431214947"	"6.27724270745444"	"7.74701267684545"	"0.0623855066705712"	"7.61835522143882"	"7.87784287693917"	"9.02374284126079"	"0.124963840579062"	"8.76757275965682"	"9.28739767520249"
"49"	"VG1-2_85"	"0.822744371790904"	"0.752712698359059"	"0.892776045222749"	"5.49467655671327"	"0.261800518679658"	"4.97633663395632"	"6.06700725527312"	"7.68767500446564"	"0.0906223183934228"	"7.50150680884218"	"7.87846341812595"	"9.28514186371987"	"0.194750347140356"	"8.88884220798007"	"9.69911012167633"
"50"	"VG1-2_86"	"0.82491997448513"	"0.751700856077817"	"0.898139092892442"	"6.29385118266908"	"0.176034199999463"	"5.93821122014741"	"6.67079045204485"	"7.96014824974498"	"0.0685167982866781"	"7.81892748032771"	"8.10391966383379"	"9.08374052609359"	"0.12785089530491"	"8.82171349806931"	"9.35355041437855"
"51"	"VG1-2_88"	"0.681785597088183"	"0.59690007121764"	"0.766671122958726"	"5.12725655282678"	"0.404887800505032"	"4.35075046458339"	"6.04235061801514"	"7.94919436121392"	"0.156631752277482"	"7.63004435012138"	"8.28169380055438"	"10.171404313369"	"0.364319484007256"	"9.4412902546109"	"10.9579795680463"
"52"	"VG1-2_89"	"0.0541174463329368"	"-0.173405843734899"	"0.281640736400772"	"8.62578366047323"	"0.644566414746975"	"7.38429562942063"	"10.0759974263279"	"9.45020376646773"	"0.330640964172454"	"8.78701780829475"	"10.1634426122885"	"9.9477966797301"	"0.518171935787281"	"8.92651303036221"	"11.085925539419"
"53"	"VG1-2_90"	"0.688722988518018"	"0.638804064090256"	"0.73864191294578"	"5.08148906269781"	"0.239702090079085"	"4.60667150250681"	"5.60524688601438"	"7.91610854279377"	"0.0931451063315435"	"7.72475345173139"	"8.11220382020699"	"10.1564130168733"	"0.215177415229517"	"9.71864187779615"	"10.6139033278901"
"54"	"VG1-2_93"	"0.870739762959797"	"0.763015279430876"	"0.978464246488717"	"6.10296108561985"	"0.274081889954593"	"5.5587837398114"	"6.70041069341078"	"7.8082065445799"	"0.10536586985155"	"7.59213223062486"	"8.03043039699566"	"8.96827802211324"	"0.206429431341516"	"8.54909722876548"	"9.40801215961064"
"55"	"VG1-2_94"	"0.902669231418272"	"0.859763641686673"	"0.945574821149872"	"5.66940388622132"	"0.139329032465531"	"5.38693301137443"	"5.96668649066801"	"7.56384873830119"	"0.0492437186552494"	"7.46213095806435"	"7.66695305368121"	"8.89465428631369"	"0.104971348778546"	"8.67901148127703"	"9.11565505400133"
"56"	"VG1-2_95"	"0.516003960887042"	"0.32918925486869"	"0.702818666905393"	"7.15091646779441"	"0.577528368050055"	"6.04532346633311"	"8.45870475155739"	"8.62194124842154"	"0.162093304664896"	"8.29135434469452"	"8.96570907487511"	"9.57805460821442"	"0.363137527215657"	"8.85187298940454"	"10.3638100306847"
"57"	"VG1-2_99"	"0.569752548515577"	"0.505960780786515"	"0.633544316244639"	"5.92393431762953"	"0.255076115003208"	"5.41653124830409"	"6.4788692598379"	"8.42392591098554"	"0.0965763648946811"	"8.22545966275703"	"8.62718080973338"	"10.2676755299945"	"0.243298445173267"	"9.77397286621534"	"10.7863160899146"
"58"	"VG1-2_103"	"0.777490613627926"	"0.703113444531576"	"0.851867782724275"	"5.90202991510471"	"0.241658230550272"	"5.42027575624176"	"6.42660238802014"	"7.92492977197721"	"0.0864254502645311"	"7.74722097822711"	"8.106714919747"	"9.35296487551175"	"0.177643284742787"	"8.99073630274823"	"9.72978730738848"
"59"	"VG1-2_104"	"0.561247435600136"	"0.493886908992558"	"0.628607962207715"	"6.34876679000446"	"0.241933606321125"	"5.86505797041365"	"6.872368518298"	"8.48552974483406"	"0.0858502591248305"	"8.30885944462531"	"8.66595656483759"	"9.9886321285278"	"0.205218401494123"	"9.57084583784649"	"10.4246556145039"
"60"	"VG1-2_105"	"0.300885612084577"	"0.191396578603118"	"0.410374645566035"	"6.97411234385108"	"0.399663801930193"	"6.19058209186441"	"7.85681253602562"	"9.30802739506327"	"0.179036381968092"	"8.9430491910877"	"9.68790086423654"	"10.9480224258367"	"0.402847528072168"	"10.141506840306"	"11.8186771378253"
"61"	"VG1-2_106"	"0.713304729309634"	"0.580273749323844"	"0.846335709295424"	"6.38279412871456"	"0.361400144282799"	"5.67378333969077"	"7.18040475824258"	"8.17853227431708"	"0.133267525581969"	"7.90603047785697"	"8.46042655026256"	"9.40157706605719"	"0.264774453658659"	"8.86676273242646"	"9.96864966350849"
"62"	"VG1-2_107"	"0.673908067030449"	"0.613067303649754"	"0.734748830411144"	"5.8127131961399"	"0.23082494570306"	"5.35197274529748"	"6.31311785551719"	"8.13099842623425"	"0.0836696945484449"	"7.95884633933885"	"8.30687421123349"	"9.81946870935686"	"0.189415151081208"	"9.43335464600956"	"10.221386702007"
"63"	"RO5"	"0.592907985749695"	"0.547493039520205"	"0.638322931979185"	"5.74819633781566"	"0.20985435419341"	"5.32793573585767"	"6.20160654635944"	"8.33557706990765"	"0.0763331827133235"	"8.17833554015127"	"8.49584181857682"	"10.2723912528089"	"0.174593266287667"	"9.91564654474626"	"10.641970906748"
"64"	"MM"	"0.67119592371362"	"0.619049350154416"	"0.723342497272825"	"5.2500691394076"	"0.243673625105665"	"4.76700998352425"	"5.78207850703568"	"8.01122322526913"	"0.0923242779352"	"7.82150685280588"	"8.20554130718018"	"10.1595692983042"	"0.218382812233424"	"9.71541852559786"	"10.624024899709"
